,title,price,year,link,brand,type,age
42,roadmaster granite peak,30,,https://cnj.craigslist.org/bik/d/east-brunswick-roadmaster-granite-peak/7900822960.html,missing,missing,
43,2004 jamis komodo commuter bike,160,2004.0,https://cnj.craigslist.org/bik/d/east-brunswick-2004-jamis-komodo/7898886559.html,jamis,commuter,22.0
44,trek y glide 1998,170,1998.0,https://cnj.craigslist.org/bik/d/east-brunswick-trek-glide-1998/7898886014.html,trek,missing,28.0
45,fuji saratoga 4.0 cruiser bike,60,,https://cnj.craigslist.org/bik/d/east-brunswick-fuji-saratoga-40-cruiser/7898882282.html,fuji,cruiser,
46,team murray kids bike,20,,https://cnj.craigslist.org/bik/d/east-brunswick-team-murray-kids-bike/7898884757.html,missing,kids,
47,kriddo child balance bike,10,,https://cnj.craigslist.org/bik/d/east-brunswick-kriddo-child-balance-bike/7898815046.html,missing,missing,
48,vintage 1997 trek y22 oclv nude carbon mountain bike,600,1997.0,https://cnj.craigslist.org/bik/d/east-brunswick-vintage-1997-trek-y22/7895798754.html,trek,mountain,29.0
49,rhino firestorm bike,5,,https://cnj.craigslist.org/bik/d/east-brunswick-rhino-firestorm-bike/7892519447.html,missing,missing,
50,pro 10 tempest canada bike,30,,https://cnj.craigslist.org/bik/d/east-brunswick-pro-10-tempest-canada/7892517779.html,missing,missing,
51,jg sports road bike,20,,https://cnj.craigslist.org/bik/d/east-brunswick-jg-sports-road-bike/7892516382.html,missing,road,
52,dynacraft hotwheels speed freak,10,,https://cnj.craigslist.org/bik/d/east-brunswick-dynacraft-hotwheels/7892497120.html,missing,missing,
53,specialized fsr ground control direct drive,170,,https://cnj.craigslist.org/bik/d/east-brunswick-specialized-fsr-ground/7890074230.html,specialized,missing,
54,miyata road bike xs,200,,https://cnj.craigslist.org/bik/d/new-brunswick-miyata-road-bike-xs/7892496192.html,missing,road,
55,vintage sears free spirit dynasty road bike,30,,https://cnj.craigslist.org/bik/d/east-brunswick-vintage-sears-free/7889765406.html,missing,road,
56,fuji odessa 1.0,50,,https://cnj.craigslist.org/bik/d/east-brunswick-fuji-odessa-10/7888227790.html,fuji,missing,
57,fixing bikes,20,,https://cnj.craigslist.org/bik/d/east-brunswick-fixing-bikes/7881358940.html,missing,missing,
58,krome 2.0 blue bmx bike,45,,https://cnj.craigslist.org/bik/d/raritan-krome-20-blue-bmx-bike/7906386342.html,missing,bmx,
59,ladies 10 speed road bike delivered to p.u.,150,,https://cnj.craigslist.org/bik/d/east-brunswick-ladies-10-speed-road/7911802274.html,missing,road,
60,"___girls 16"" kent  bicycle__ pink",25,,https://cnj.craigslist.org/bik/d/cliffwood-girls-16-kent-bicycle-pink/7903960903.html,missing,missing,
61,electric 3 speed litening adult tricycle,350,,https://cnj.craigslist.org/bik/d/pennington-electric-speed-litening/7888634229.html,missing,electric,
62,".o0🔴 trek ""jet"" - 20"" bmx style boys/girls bike 🔴0o.",115,,https://cnj.craigslist.org/bik/d/howell-o0-trek-jet-20-bmx-style-boys/7886857319.html,trek,bmx,
63,"** 24"" fuji ""dynamite"" boys/girls mountain style bike **",189,,https://cnj.craigslist.org/bik/d/howell-24-fuji-dynamite-boys-girls/7905842527.html,fuji,mountain,
64,"._. pacific ""paw patrol to the lookout"" - 16"" kids style bike ._.",60,,https://cnj.craigslist.org/bik/d/howell-pacific-paw-patrol-to-the/7885391309.html,missing,kids,
65,"🔴0 dynacraft ""firestorm"" - 18"" bmx style boys bike 0🔴",60,,https://cnj.craigslist.org/bik/d/howell-dynacraft-firestorm-18-bmx-style/7902131008.html,missing,bmx,
66,"--> 14"" apollo ""heart breaker"" girls bike <--",50,,https://cnj.craigslist.org/bik/d/howell-apollo-heart-breaker-girls-bike/7880207574.html,missing,missing,
67,"-- huffy ""seastar"" - 12"" kids girls bike --",45,,https://cnj.craigslist.org/bik/d/howell-huffy-seastar-12-kids-girls-bike/7886855362.html,missing,kids,
68,old school bmx super bundle gt dyno acs z rims & more,0,,https://cnj.craigslist.org/bik/d/mount-holly-old-school-bmx-super-bundle/7911758706.html,gt,bmx,
69,e scooter,125,,https://cnj.craigslist.org/bik/d/trenton-scooter/7908829478.html,missing,missing,
70,old bikes,0,,https://cnj.craigslist.org/bik/d/trenton-old-bikes/7901143780.html,missing,missing,
71,single speed girls bike coaster brakes.,65,,https://cnj.craigslist.org/bik/d/linden-single-speed-girls-bike-coaster/7906840430.html,missing,missing,
72,giant tcx advanced pro 1 - 2019 (l) - carbon gravel bike,1500,2019.0,https://cnj.craigslist.org/bik/d/east-brunswick-giant-tcx-advanced-pro/7906186477.html,giant,gravel,7.0
73,giant tcx advanced pro 1 - 2017 (l) - ultegra di2 - carbon gravel bike,1300,2017.0,https://cnj.craigslist.org/bik/d/east-brunswick-giant-tcx-advanced-pro/7906186167.html,giant,gravel,9.0
74,2024 trek slash gen 6 carbon m/l - custom build enduro mountain bike,3000,2024.0,https://cnj.craigslist.org/bik/d/east-brunswick-2024-trek-slash-gen/7904127456.html,trek,mountain,2.0
75,2022 giant trance advanced pro 29 1 medium - unopened,2800,2022.0,https://cnj.craigslist.org/bik/d/east-brunswick-2022-giant-trance/7905378246.html,giant,missing,4.0
76,"specialized stumpjumper carbon 29er – size l, 2022",2900,2022.0,https://cnj.craigslist.org/bik/d/east-brunswick-specialized-stumpjumper/7903505883.html,specialized,missing,4.0
77,vintage 18 speed  huffy-,150,,https://cnj.craigslist.org/bik/d/union-vintage-18-speed-huffy/7908332306.html,missing,missing,
78,schwinn signature men's hornet cruiser comfort bike,75,,https://cnj.craigslist.org/bik/d/kingston-schwinn-signature-mens-hornet/7909588045.html,schwinn,cruiser,
79,1916 westminster wood wheels bicycle by ec simmons keen kutter,450,1916.0,https://cnj.craigslist.org/bik/d/sergeantsville-1916-westminster-wood/7911720631.html,missing,missing,110.0
80,60cm raleigh super course,325,,https://cnj.craigslist.org/bik/d/new-brunswick-60cm-raleigh-super-course/7908781576.html,raleigh,missing,
81,52 cm trek 1000 aluminum,175,,https://cnj.craigslist.org/bik/d/new-brunswick-52-cm-trek-1000-aluminum/7908777394.html,trek,missing,
82,dahon boardwalk single speed folding bike,100,,https://cnj.craigslist.org/bik/d/new-brunswick-dahon-boardwalk-single/7908776008.html,missing,folding,
83,50cm biemmezeta vintage light touring bicycle 1980s,375,1980.0,https://cnj.craigslist.org/bik/d/new-brunswick-50cm-biemmezeta-vintage/7906409654.html,missing,touring,46.0
84,1985 50cm centurion elite gt light touring,275,1985.0,https://cnj.craigslist.org/bik/d/new-brunswick-cm-centurion-elite-gt/7906409902.html,gt,touring,41.0
85,mint 52cm gt transeo 5.0,125,,https://cnj.craigslist.org/bik/d/new-brunswick-mint-52cm-gt-transeo-50/7905215204.html,gt,missing,
86,40cm diamondback wildwood,125,,https://cnj.craigslist.org/bik/d/new-brunswick-40cm-diamondback-wildwood/7892690861.html,missing,missing,
87,52cm mongoose alta,175,,https://cnj.craigslist.org/bik/d/new-brunswick-52cm-mongoose-alta/7892689877.html,missing,missing,
88,mint like new 42cm bianchi avenue,125,,https://cnj.craigslist.org/bik/d/new-brunswick-mint-like-new-42cm/7892688456.html,bianchi,missing,
89,58cm cycles gitane step through,175,,https://cnj.craigslist.org/bik/d/new-brunswick-58cm-cycles-gitane-step/7892687109.html,missing,missing,
90,54cm nashbar 7000r pro design,225,,https://cnj.craigslist.org/bik/d/new-brunswick-54cm-nashbar-7000r-pro/7892687728.html,missing,missing,
